timestamp,airmass,bigbox,goffset_hwing1,goffset_hwing2,goffset_stellar_centroidx,goffset_stellar_centroidy,goffset_vwing1,goffset_vwing2,h1r,h2r,hafbox,pixcount_cutoff,polynom_h1,polynom_h2,polynom_v1,polynom_v2,target_name,timestamp,v1r,v2r
20200114.071500,1.09,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,bet Tau - HD 35497,20200114.071500,"(50, 100)","(250, 300)"
20200114.071716,1.09,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,bet Tau - HD 35497,20200114.071716,"(50, 100)","(250, 300)"
20200114.071902,1.09,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,bet Tau - HD 35497,20200114.071902,"(50, 100)","(250, 300)"
20200114.072050,1.09,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,bet Tau - HD 35497,20200114.072050,"(50, 100)","(250, 300)"
20200114.072233,1.09,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,bet Tau - HD 35497,20200114.072233,"(50, 100)","(250, 300)"
20200114.072416,1.09,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,bet Tau - HD 35497,20200114.072416,"(50, 100)","(250, 300)"
20200114.072529,1.09,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,bet Tau - HD 35497,20200114.072529,"(50, 100)","(250, 300)"
20200114.072609,1.09,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,bet Tau - HD 35497,20200114.072609,"(50, 100)","(250, 300)"
20200114.072722,1.09,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,bet Tau - HD 35497,20200114.072722,"(50, 100)","(250, 300)"
20200114.072837,1.09,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,bet Tau - HD 35497,20200114.072837,"(50, 100)","(250, 300)"
20200114.072947,1.09,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,bet Tau - HD 35497,20200114.072947,"(50, 100)","(250, 300)"
20200114.073119,1.09,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,bet Tau - HD 35497,20200114.073119,"(50, 100)","(250, 300)"
20200114.073545,1.09,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,bet Tau - HD 35497,20200114.073545,"(50, 100)","(250, 300)"
20200114.073822,1.09,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,bet Tau - HD 35497,20200114.073822,"(50, 100)","(250, 300)"
20200114.074017,1.09,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,bet Tau - HD 35497,20200114.074017,"(50, 100)","(250, 300)"
20200114.074317,1.16,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,bet Tau - HD 35497,20200114.074317,"(50, 100)","(250, 300)"
20200114.074519,1.16,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,bet Tau - HD 35497,20200114.074519,"(50, 100)","(250, 300)"
20200114.074642,1.16,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,bet Tau - HD 35497,20200114.074642,"(50, 100)","(250, 300)"
20200114.074713,1.16,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,bet Tau - HD 35497,20200114.074713,"(50, 100)","(250, 300)"
20200114.074845,1.18,250,0.05,0,0,0.05,0,0.2,"(20, 125)","(250, 330)",40,650,1,1,1,1,bet Tau - HD 35497,20200114.074845,"(20, 125)","(265, 330)"
20200114.075114,1.19,250,0.05,0,0,0.05,0,0.2,"(20, 125)","(250, 330)",40,650,1,1,1,1,bet Tau - HD 35497,20200114.075114,"(20, 125)","(265, 330)"
20200114.075225,1.19,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,bet Tau - HD 35497,20200114.075225,"(50, 100)","(250, 300)"
20200114.075325,1.19,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,bet Tau - HD 35497,20200114.075325,"(50, 100)","(250, 300)"
20200114.075432,1.19,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,bet Tau - HD 35497,20200114.075432,"(50, 100)","(250, 300)"
20200114.075621,1.19,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,bet Tau - HD 35497,20200114.075621,"(50, 100)","(250, 300)"
20200114.075731,1.19,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,bet Tau - HD 35497,20200114.075731,"(50, 100)","(250, 300)"
20200114.080222,2.30,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,eta Uma - HD 120315,20200114.080222,"(50, 100)","(250, 300)"
20200114.080345,2.20,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,eta Uma - HD 120315,20200114.080345,"(50, 100)","(250, 300)"
20200114.080540,2.20,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,eta Uma - HD 120315,20200114.080540,"(50, 100)","(250, 300)"
20200114.080617,2.20,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,eta Uma - HD 120315,20200114.080617,"(50, 100)","(250, 300)"
20200114.080715,2.20,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,eta Uma - HD 120315,20200114.080715,"(50, 100)","(250, 300)"
20200114.080750,2.20,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,eta Uma - HD 120315,20200114.080750,"(50, 100)","(250, 300)"
20200114.080829,2.14,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,eta Uma - HD 120315,20200114.080829,"(50, 100)","(250, 300)"
20200114.080923,2.13,250,0.0,0,0,0.0,0,0.0,"(50, 100)","(250, 300)",40,650,1,1,1,1,eta Uma - HD 120315,20200114.080923,"(50, 100)","(250, 300)"
